,id,text,created_at
44,1236111601239023616,#Health #Happy #Life TISSCARE Heat Shiatsu Foot Massager Machine w Relaxing Vibration https://t.co/6oZchjb5qb,2020-03-07 02:09:06
45,1236111600211447808,#Health #Happy #Life *GIFT* Comfier Shiatsu Massage Kneading Full Back Heat Air Compress CF… https://t.co/TxoDoJqP5N,2020-03-07 02:09:05
46,1236111599246733312,#Health #Happy #Life LOVENSE Lush 2 Bluetooth Remote Control Bullet https://t.co/hfUMQaxXWJ,2020-03-07 02:09:05
47,1236110920448905217,"Touchdown to realityIt’s not exactly what you had in mind 💬
 #Happy https://t.co/zZh0YHBVUK",2020-03-07 02:06:23
48,1236110919245213696,"Touchdown to realityIt’s not exactly what you had in mind 💬
 #Happy https://t.co/I5QDmHDrAJ",2020-03-07 02:06:23
49,1236110919199076353,"Touchdown to realityIt’s not exactly what you had in mind 💬
 #Happy https://t.co/7tkQZQ8wnd",2020-03-07 02:06:23
50,1236110911221436416,"Touchdown to realityIt’s not exactly what you had in mind 💬
 #Happy https://t.co/Fy90iuu3n8",2020-03-07 02:06:21
51,1236110906100244480,"Touchdown to realityIt’s not exactly what you had in mind 💬
 #Happy https://t.co/3IwgGNqSSc",2020-03-07 02:06:20
52,1236110904875520000,"Touchdown to realityIt’s not exactly what you had in mind 💬
 #Happy https://t.co/jxi8hjegVp",2020-03-07 02:06:20
53,1236110903625596928,"Touchdown to realityIt’s not exactly what you had in mind 💬
 #Happy https://t.co/0MNjchHg3K",2020-03-07 02:06:19
54,1236110901780115462,"Touchdown to realityIt’s not exactly what you had in mind 💬
 #Happy https://t.co/tZUw3LfdaG",2020-03-07 02:06:19
55,1236110900731564032,"Touchdown to realityIt’s not exactly what you had in mind 💬
 #Happy https://t.co/dgGqa7xJ9P",2020-03-07 02:06:19
56,1236110895467687941,"Touchdown to realityIt’s not exactly what you had in mind 💬
 #Happy https://t.co/NmtuTmRNjY",2020-03-07 02:06:17
57,1236110427592863746,Jesus Christ Christian Bible Prophecy News - #POTUS #happy #patriot #MAGA: Pedogate Pizza Gate pedophile cannibal Luciferian Satanist DNC FBI globalists who sold America nuclear weapon &amp; CIA secrets to other nations is trying to kick out Donald Trump &amp; nationalists &amp; Constitution https://t.co/1HEJGyUAGy,2020-03-07 02:04:26
58,1236110072167550979,@GirlsGeneration I'm so excited 💓💓 #TAEYEON #Happy,2020-03-07 02:03:01
59,1236109526094487552,"Throw the ball already...
#golden #pug#germanshepherd #pet #petsofinsta #petsofinstagram #friends #bestfriends #small #blue #gs #dog #puglover #petlover #mayhew#dogsoflondon #london #happy https://t.co/tGEfUDfxSM",2020-03-07 02:00:51
60,1236109486496141313,"Grandson 4th Birthday Train Card
#CareConnectCelebrate w/ #SandraRoseDesigns 
Get this! https://t.co/7yVehC8Mmg
#Grandson #Train #Boy #Blue #4thBirthday #4th #Fourth #HappyBirthday #Happy #Birthday #AnyCardImaginable @GCUniverse #Greetingcards #Greetingcard #ArtvsArtists2019 https://t.co/bMLdxa8U12",2020-03-07 02:00:42
61,1236109427520004096,"Crazy J -  My Black Rose  (Official Video) https://t.co/IJBBw73eOY
 #singer #artist #song #fun #newyork #life #happy #rock #guitar #nyc #musica #rnb #bands  #CrazyJ #Officalcrazyj #Upandcoming #StatenIsland #amazing #yes #goodmusic #song #guitar #rnb #songs #pop #new #rose",2020-03-07 02:00:27
62,1236109405109673984,"First steps as Mr &amp; Mrs Cheung! #happy #wedding #celebration @jillianlum @ Surry Hills, New South Wales, Australia https://t.co/LTd1WjCDDj",2020-03-07 02:00:22
63,1236109312201801729,What are you up to this weekend? #weekendvibes #happy #saturday #sunday https://t.co/tGuNZQB2pp,2020-03-07 02:00:00
64,1236109236133859329,"Just breathe ❤

Foto: arimarcarvalho

 #modelo #modeling  #picoftheday  #moda #women #fashiongirl #fashion #pic #instapic #instagram #fun #happy #foto #fotografia #girl #picoftheday 
#instalike #like… https://t.co/wN9fBgDKvQ",2020-03-07 01:59:42
65,1236108776547201026,"One month ago 💕️
 #Happy https://t.co/3hRIBP6RIC",2020-03-07 01:57:52
66,1236108776119439360,"One month ago 💕️
 #Happy https://t.co/T0UQ316ADu",2020-03-07 01:57:52
67,1236108740920778754,"Spread your wings and live your dream ✈️
 #Happy https://t.co/Ad6chpjCba",2020-03-07 01:57:44
68,1236108737590562816,"Spread your wings and live your dream ✈️
 #Happy https://t.co/7zfoHVHRdI",2020-03-07 01:57:43
69,1236108583474851840,"Buddy | Border Collie 

#goldcoast #familyphotographer #goldcoastdogs #robina #dogblog #mansbestfriend #goldcoastphotographer #furchild #furkid #furbaby #happy #goldcoastbusiness #heybrisbane o#brisbanebusiness… https://t.co/L32XTUMmls",2020-03-07 01:57:06
70,1236108435781021696,#Health #Happy #Life WATERPIK ULTRA PLUS WATER FLOSSER COMPLETE UNUSED SEALED IN PACKAGE… https://t.co/13AoJRxwTH,2020-03-07 01:56:31
71,1236108434707267584,#Health #Happy #Life Waterpik Water Flosser Aquarius Professional Black WP-662CD New https://t.co/mGuy32uPkh,2020-03-07 01:56:31
72,1236108433436393473,#Health #Happy #Life Waterpik Complete Care 9.5 Oscillating Electric Toothbrush/Water… https://t.co/h0nR03hWIi,2020-03-07 01:56:30
